TEAM,PLAYER,POS,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
dal,Doug Smith, F,63,0,13.1,5.1,0.7,1.6,2.3,0.7,0.46,0.41,0.6,2.1,1.2,2.1,5.0,.417,0.0,0.2,.083,0.9,1.2,0.76,2.1,4.8,.430,1.019,0.42
dal,Donald Hodge, C,54,0,11.7,3.9,0.7,1.5,2.3,0.8,0.19,0.26,0.7,2.0,1.1,1.5,3.8,.407,0.1,0.3,.286,0.7,0.9,0.76,1.4,3.5,.416,1.025,0.42
dal,Jim Jackson, SF,51,51,38.9,25.7,2.4,2.7,5.1,3.7,0.55,0.24,3.1,1.8,1.2,9.5,20.1,.472,0.7,2.2,.318,6.0,7.5,0.81,8.8,17.9,.490,1.276,0.49
dal,Jamal Mashburn, SF,80,80,37.3,24.1,1.5,2.7,4.1,3.7,1.03,0.10,2.9,2.4,1.3,8.5,19.6,.436,1.4,4.3,.328,5.6,7.6,0.74,7.1,15.3,.466,1.230,0.47
dal,Morlon Wiley, G†,38,2,10.7,3.4,0.2,0.9,1.0,1.8,0.55,0.03,0.5,1.2,3.6,1.2,2.9,.423,0.8,2.0,.387,0.2,0.3,0.70,0.4,0.9,.500,1.171,0.55
hou,Scott Brooks, G†,28,0,6.6,3.4,0.0,0.4,0.5,0.8,0.29,0.04,0.5,0.5,1.6,1.3,2.3,.538,0.3,0.6,.471,0.6,0.8,0.86,1.0,1.7,.563,1.477,0.60
hou,Vernon Maxwell, G,64,54,31.8,13.3,0.3,2.3,2.6,4.3,1.17,0.20,2.1,2.5,2.0,4.8,12.1,.394,2.2,6.9,.324,1.5,2.3,0.69,2.6,5.2,.485,1.099,0.49
hou,Clyde Drexler, G†,35,34,37.1,21.4,1.9,5.1,7.0,4.4,1.77,0.66,2.5,2.5,1.7,7.6,15.0,.506,1.7,4.8,.357,4.5,5.5,0.81,5.9,10.2,.575,1.424,0.56
hou,Otis Thorpe, C†,36,35,33.0,13.3,3.1,5.8,8.9,1.6,0.61,0.36,2.1,2.8,0.8,5.7,10.2,.563,0.0,0.1,.000,1.9,3.5,0.53,5.7,10.1,.567,1.309,0.56
hou,Pete Chilcutt, F,68,17,19.8,5.3,1.6,3.1,4.7,1.0,0.37,0.63,0.9,1.7,1.1,2.1,4.8,.445,0.5,1.3,.407,0.5,0.6,0.74,1.6,3.5,.459,1.091,0.50
